id,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,recorded_by,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
18864,4000,02/20/2011 00:00:00,Cefa,1982,CEFA,35.87141325,-8.22756303,none,0,Rufiji,Mlandege Juu,Iringa,11,7,Kilolo,Boma la ng'ombe,70,True,GeoData Consultants Ltd,VWC,Bomala,True,2003,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
25182,1500,04/04/2011 00:00:00,District Council,2169,DWE,34.44128349,-9.18987766,Kwa Bryson Msigwa,0,Rufiji,Ikanga,Iringa,11,4,Njombe,Wangama,20,True,GeoData Consultants Ltd,VWC,wangama water supply scheme,True,2007,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
74197,6,07/03/2013 00:00:00,Ces (gmbh),962,DWE,37.47943592,-3.36819761,Kwa Emanuel Moshi,0,Pangani,Msufini,Kilimanjaro,3,4,Moshi Rural,Kurua Vunjo Mashariki,45,True,GeoData Consultants Ltd,Water Board,Kirua kahe gravity water supply trust,True,2008,Gravity,Gravity,Gravity,WaterBoard,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
63542,500,03/23/2011 00:00:00,Rc Church,2049,ACRA,34.68047144,-9.3264772,Kwa Mkapa,0,Rufiji,Usita,Iringa,11,4,Njombe,Imalinyi,75,True,GeoData Consultants Ltd,WUA,Tove Mtwango gravity Scheme,True,2008,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
27312,50,03/12/2011 00:00:00,Private Individual,159,WU,38.35356668,-6.63869562,Kessy,0,WamiRuvu,Magwila,Pwani,6,1,Bagamoyo,Chalinze,20,False,GeoData Consultants Ltd,WUA,Chalinze wate,True,2008,KSB,Submersible,Submersible,PrivateOperator,Commercial,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NonFunctional
43237,200,01/17/2013 00:00:00,Isf/tacare,1002,ISF and TACARE,29.67098869,-4.7268495999999995,Muungano,0,LakeTanganyika,Kilundo,Kigoma,16,3,Kigoma Rural,Mwamgongo,120,True,GeoData Consultants Ltd,WUG,Chankele/Bubango water project,True,2006,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NeedsRepair
39920,200,03/23/2011 00:00:00,Danida,18,DA,38.89040167,-6.55790327,Gedebu,0,WamiRuvu,Shule,Pwani,6,1,Bagamoyo,Kiromo,40,True,GeoData Consultants Ltd,Company,Bagamoyo wate,True,1987,KSB,Submersible,Submersible,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NonFunctional
57580,10,02/26/2013 00:00:00,Germany Republi,1409,CES,37.17489041,-3.21646394,Area Two Namba 20,0,Pangani,Tema,Kilimanjaro,3,5,Hai,Masama Mashariki,75,True,GeoData Consultants Ltd,Water Board,Losaa-Kia water supply,True,1999,Gravity,Gravity,Gravity,WaterBoard,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
23000,1000,02/16/2013 00:00:00,District Council,744,District Counci,37.61640658,-3.56996907,Kwa Issa Kinanja,0,Pangani,Kwa Nyange,Kilimanjaro,3,2,Mwanga,Jipe,320,True,GeoData Consultants Ltd,VWC,Kwa Nyange water supply,True,2010,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
74246,50,03/07/2011 00:00:00,Ruthe,1428,Ruthe,35.63048144,-7.71054858,none,0,Rufiji,Kidete,Iringa,11,1,Iringa Rural,Kiwere,1,True,GeoData Consultants Ltd,VWC,Kiwele,True,2000,Gravity,Gravity,Gravity,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Dry,Dry,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,NonFunctional
42031,500,03/23/2011 00:00:00,Rc Church,2050,ACRA,34.64835709,-9.31731152,Kwa Charles Beda,0,Rufiji,Utengule,Iringa,11,4,Njombe,Imalinyi,305,True,GeoData Consultants Ltd,WUA,Tove Mtwango gravity Scheme,True,2008,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
60852,20,03/17/2011 00:00:00,World Bank,471,World,37.82346185,-6.771698700000001,Kwa Saidi Gwaja,0,WamiRuvu,Mbuyuni,Morogoro,5,2,Morogoro Rural,Mkambalani,150,True,GeoData Consultants Ltd,VWC,Mkam,True,2004,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
42180,1200,01/21/2013 00:00:00,Government Of Tanzania,1242,DWE,30.26413388,-4.52564753,Kwa Mukanda,0,LakeTanganyika,Kagembe B,Kigoma,16,2,Kasulu,Ruhita,560,True,GeoData Consultants Ltd,Water authority,Maji ya kutega,True,1977,Gravity,Gravity,Gravity,WaterBoard,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
10715,40,03/09/2011 00:00:00,Private Individual,217,WU,38.33493265,-6.45446888,Maiko,0,WamiRuvu,Sekondari,Pwani,6,1,Bagamoyo,Lugoba,12,True,GeoData Consultants Ltd,WUA,Chalinze wate,True,2010,KSB,Submersible,Submersible,PrivateOperator,Commercial,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
41635,500,07/16/2011 00:00:00,Government Of Tanzania,1783,DWE,31.52365762,-8.17864388,Kwa Alfred Mwanandenje,0,LakeTanganyika,Malangilisho,Rukwa,15,2,Sumbawanga Rural,Msanzi,50,True,GeoData Consultants Ltd,VWC,Msanzi Water Supply Sc,True,1972,Gravity,Gravity,Gravity,VWC,UserGroup,PayWhenSchemeFails,OnFailure,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
47459,1000,03/02/2011 00:00:00,Danida,1592,DANID,35.63419525,-7.85014451,none,0,Rufiji,Igavilo,Iringa,11,1,Iringa Rural,Mseke,1,True,GeoData Consultants Ltd,VWC,Meseke,True,1984,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
112,30,03/14/2011 00:00:00,Donor,128,WU,38.34276796,-6.60873088,Shabaan Jubwa,0,WamiRuvu,Chalinze Mzee A,Pwani,6,1,Bagamoyo,Chalinze,50,True,GeoData Consultants Ltd,WUA,Chalinze wate,True,2010,KSB,Submersible,Submersible,WUA,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NonFunctional
4807,25000,04/14/2011 00:00:00,Secondary Schoo,1768,secondary school,34.71600987,-9.12973959,Head Master,0,Rufiji,Sadani,Iringa,11,4,Njombe,Mdandu,25,True,GeoData Consultants Ltd,WUA,wanging'ombe water supply s,True,1987,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
26540,50,01/18/2013 00:00:00,Ministry Of Water,1135,DWE,33.50998861,-2.15235319,Shuleni,0,LakeVictoria,Stooni,Mara,20,4,Bunda,Neruma,100,True,GeoData Consultants Ltd,VWC,Kasahunga pipe scheme,True,1978,Gravity,Gravity,Gravity,Parastatal,Parastatal,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,Lake,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NonFunctional
34636,10,03/15/2011 00:00:00,Government Of Tanzania,205,RW,38.23544422,-6.63641192,Kiwembe,0,WamiRuvu,Kudibona,Pwani,6,1,Bagamoyo,Chalinze,100,True,GeoData Consultants Ltd,VWC,Matuli/Mdaula,True,1982,KSB,Submersible,Submersible,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,Dam,Dam,Surface,CommunalStandpipe,CommunalStandpipe,NonFunctional
52520,10,03/18/2013 00:00:00,Germany,1685,Dmdd,35.88015611,-3.25083059,Kwa Gabriel,0,Internal,Qanqali,Arusha,24,30,Karatu,Mbulumbulu,200,True,GeoData Consultants Ltd,VWC,Vyama vya watumia maji,True,2009,Gravity,Gravity,Gravity,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
37562,500,03/23/2013 00:00:00,Government Of Tanzania,1897,DWE,36.65057433,-3.2526794,Kwa Lazaro,0,Pangani,Olama,Arusha,2,2,Arusha Rural,Olkokola,150,True,GeoData Consultants Ltd,VWC,Olkokola pipe line,True,2000,Gravity,Gravity,Gravity,VWC,UserGroup,PayWhenSchemeFails,OnFailure,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
4907,500,02/27/2011 00:00:00,World Bank,373,Gwasco L,37.50789059,-6.26635194,Kwa Makumba,0,WamiRuvu,Zahanati,Morogoro,5,6,Mvomero,Hembeti,1,True,GeoData Consultants Ltd,VWC,Dimamba,True,2005,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NeedsRepair
46893,50,03/30/2011 00:00:00,Af,1261,AF,36.83283068,-6.09538776,Kwa Kalebi,0,WamiRuvu,Ofsini,Morogoro,5,1,Kilosa,Rubeho,250,True,GeoData Consultants Ltd,VWC,Ma,True,2006,Submersible,Submersible,Submersible,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,MachineDbh,BoreHole,Groundwater,CommunalStandpipe,CommunalStandpipe,NonFunctional
51694,2000,03/09/2011 00:00:00,Danida,1007,DANID,35.06153079,-7.91507677,none,0,Rufiji,Uyamba,Iringa,11,1,Iringa Rural,Mahuninga,1,True,GeoData Consultants Ltd,VWC,Mahuni,True,1989,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
1780,2000,03/15/2011 00:00:00,Danida,1114,DANID,35.87761667,-7.42197042,none,0,Rufiji,Madibila,Iringa,11,1,Iringa Rural,Kihorogota,1,True,GeoData Consultants Ltd,VWC,Jihoro,True,1991,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
21704,6,06/03/2013 00:00:00,Ces(gmbh),1421,DWE,37.43964118,-3.31993627,Kwa Alphonce Kesi,0,Pangani,Lole,Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Magharibi,30,True,GeoData Consultants Ltd,Water Board,Kirua kahe gravity water supply trust,True,2008,Gravity,Gravity,Gravity,WaterBoard,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
24948,500,03/27/2011 00:00:00,Wananchi,1244,wananchi,34.63225535,-8.72031632,Ofisini,0,Rufiji,Kati,Iringa,11,4,Njombe,Wanging'ombe,55,True,GeoData Consultants Ltd,WUA,wanging'ombe supply scheme,True,2009,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Seasonal,Seasonal,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
4321,1000,03/02/2011 00:00:00,Danida,1591,DANID,35.62422947,-7.86001982,none,0,Rufiji,Njia Panda A,Iringa,11,1,Iringa Rural,Mseke,1,True,GeoData Consultants Ltd,VWC,Meseke,True,1984,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
70835,10,03/15/2013 00:00:00,Hans,1602,Hans,35.73363834,-3.30450464,Qwahasau,0,Internal,Juu,Arusha,24,30,Karatu,Rhotia,150,True,GeoData Consultants Ltd,VWC,Mowasu,True,1992,Gravity,Gravity,Gravity,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
17861,200,02/17/2013 00:00:00,Government Of Tanzania,482,Government,34.89217109,-11.35532944,Kwa Mzee Chivalu,0,LakeNyasa,Likalo,Ruvuma,10,3,Mbinga,Mtipwili,86,True,GeoData Consultants Ltd,VWC,Government,True,2008,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
40592,1000,04/04/2011 00:00:00,Rc Church,2179,RC CHURCH,34.41769364,-9.21264691,Kwa Leyndi Chengula,0,Rufiji,Ilulu A,Iringa,11,4,Njombe,Wangama,75,True,GeoData Consultants Ltd,VWC,imalilo water supply scheme,True,2000,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Dry,Dry,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,NonFunctional
65101,200,03/09/2011 00:00:00,Dhv,887,DWE,36.714157,-8.73986417,Mwacheapotee,0,Rufiji,Koloa,Morogoro,5,4,Ulanga,Isongo,203,True,GeoData Consultants Ltd,WUA,Isongo w,True,1995,Gravity,Gravity,Gravity,WUG,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
26577,30,02/20/2013 00:00:00,Shawasa,917,SHAWASA,36.98516699,-3.56223676,Songambele,0,Pangani,Songambele,Manyara,21,4,Simanjiro,Mererani,200,True,GeoData Consultants Ltd,Water authority,Mirerani pipe scheme,True,2000,Submersible,Submersible,Submersible,WaterAuthority,Commercial,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,MachineDbh,BoreHole,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
39548,250,02/19/2013 00:00:00,Norad,1325,NORAD,30.20482368,-4.50371347,Kwa Ntazi,0,LakeTanganyika,Tabirugu,Kigoma,16,2,Kasulu,Ruhita,210,True,GeoData Consultants Ltd,Water authority,Kyonza,True,1988,Gravity,Gravity,Gravity,WaterBoard,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,NonFunctional
59102,7200,03/17/2013 00:00:00,Private Individual,1726,Dmdd,35.91834892,-3.17692667,Kwa Tiaini,0,Internal,Kituma,Arusha,24,30,Karatu,Mbulumbulu,100,True,GeoData Consultants Ltd,VWC,Vyama vya watumia maji,True,2002,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Coloured,Colored,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
74217,20,06/04/2013 00:00:00,Government Of Tanzania,1020,DWE,36.68729462,-3.58425942,Kwa Koluduni,0,Pangani,Ujamaa,Arusha,2,2,Arusha Rural,Oljoro,100,True,GeoData Consultants Ltd,VWC,Olumulo pipe line,True,2010,Gravity,Gravity,Gravity,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
7007,500,02/22/2011 00:00:00,Danida,1694,Danid,34.50392432,-9.87356716,none,0,LakeNyasa,Kiwanja,Iringa,11,5,Ludewa,Mawengi,95,True,GeoData Consultants Ltd,VWC,Jongoj,True,1992,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
38725,500,04/16/2011 00:00:00,Roman Catholic,1804,ACRA,34.76969867,-9.12297853,Kilabuni,0,Rufiji,Kati,Iringa,11,4,Njombe,Mdandu,130,True,GeoData Consultants Ltd,WUA,mtwango water supply scheme,True,2009,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
23835,20,03/19/2011 00:00:00,World Bank,459,World,37.819264000000004,-6.77130648,Kwa Mama Nyanga,0,WamiRuvu,Mbuyuni,Morogoro,5,2,Morogoro Rural,Mkambalani,250,True,GeoData Consultants Ltd,VWC,Mkam,True,2004,Gravity,Gravity,Gravity,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
3740,6000,03/03/2011 00:00:00,Danida,1529,DANID,35.57900029,-7.86736004,none,0,Rufiji,Ilangi,Iringa,11,1,Iringa Rural,Kalenga,1,True,GeoData Consultants Ltd,VWC,kaleng,True,1985,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
15832,50,03/22/2013 00:00:00,0,30,0,39.17840407,-6.93801296,Ccm Kivule,0,WamiRuvu,Mtaa Wa Kivule,Dar es Salaam,7,2,Ilala,Msongola,100,,GeoData Consultants Ltd,WUG,N,False,2000,Submersible,Submersible,Submersible,WUG,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,MachineDbh,BoreHole,Groundwater,CommunalStandpipe,CommunalStandpipe,NonFunctional
4437,10,09/03/2013 00:00:00,Giz,813,KILI WATER,37.48326369,-3.39258445,Kwa Mghanga Mwajabu,0,Pangani,Karamsingi,Kilimanjaro,3,4,Moshi Rural,Kirua Vunjo Kusini,50,True,GeoData Consultants Ltd,WUA,Uchira water users association,True,2001,Gravity,Gravity,Gravity,WUA,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
65584,5,03/30/2013 00:00:00,Ces (gmbh),1038,DWE,37.27119332,-3.29718526,Kwa Peter Kanuni Munishi,0,Pangani,Muyuni,Kilimanjaro,3,4,Moshi Rural,Kindi,30,True,GeoData Consultants Ltd,Water Board,Lyamungo umbwe water supply,True,2007,Gravity,Gravity,Gravity,WaterBoard,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
29052,3600,01/29/2013 00:00:00,Government Of Tanzania,899,DWE,29.82376296,-4.87487688,Sokoni,0,LakeTanganyika,Msunuzi,Kigoma,16,3,Kigoma Rural,Matendo,220,True,GeoData Consultants Ltd,WUG,Kidahwe water project,True,1979,Gravity,Gravity,Gravity,VWC,UserGroup,PayAnnually,Annually,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
60111,500,04/16/2011 00:00:00,Roman Catholic,1842,ACRA,34.78207959,-9.12239269,Kwa Litroce Ng'Eve,0,Rufiji,Mvinila,Iringa,11,4,Njombe,Mdandu,85,True,GeoData Consultants Ltd,WUA,mtwango water supply scheme,True,2009,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
54678,500,04/14/2011 00:00:00,Rc Church,1929,ACRA,34.70473384,-9.20234087,Kwa Michael Mlowe,0,Rufiji,Uchiliwala,Iringa,11,4,Njombe,Mdandu,95,True,GeoData Consultants Ltd,WUA,mtwango water supply scheme,True,2009,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
59053,200,03/12/2011 00:00:00,Government Of Tanzania,1874,DWE,38.24712015,-4.558200599999999,Kwa Mzee Saidi Chando,0,Pangani,Mtimui,Tanga,4,1,Lushoto,Rangwi,1,True,GeoData Consultants Ltd,VWC,Shagayo forest,True,1978,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,Functional
30897,1000,03/03/2011 00:00:00,Ebaha,2116,Villa,34.77865965,-9.49554502,none,0,Rufiji,Majengo,Iringa,11,4,Njombe,Uwemba,30,True,GeoData Consultants Ltd,VWC,Ngabav,False,1996,Submersible,Submersible,Submersible,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,Spring,Spring,Groundwater,CommunalStandpipe,CommunalStandpipe,NonFunctional
8699,500,04/18/2011 00:00:00,Rcchurch/cefa,1573,RCchurch/CEFA,35.14300047,-9.260030800000001,Tag,0,Rufiji,Iyembela B,Iringa,11,4,Njombe,Lupembe,150,True,GeoData Consultants Ltd,WUA,matembwe water supply schem,True,1975,Gravity,Gravity,Gravity,WUA,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
59263,10,03/18/2013 00:00:00,Germany,1527,Dmdd,35.85723778,-3.27581345,Kwa Murai,0,Internal,Sabasaba,Arusha,24,30,Karatu,Mbulumbulu,200,True,GeoData Consultants Ltd,VWC,Vyama vya watumia maji,True,2009,Gravity,Gravity,Gravity,VWC,UserGroup,PayPerBucket,PerBucket,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
19283,300,02/24/2011 00:00:00,Adb,1337,DWE,35.09692286,-9.08118607,Kwa Cosmas Nguguvale,0,Rufiji,Ulinzi,Iringa,11,4,Njombe,Ikuka,40,True,GeoData Consultants Ltd,VWC,Lima gravity water scheme,False,2008,Gravity,Gravity,Gravity,VWC,UserGroup,PayMonthly,Other,Soft,Good,Enough,Enough,River,RiverOrLake,Surface,CommunalStandpipe,CommunalStandpipe,Functional
